title,requirement
Software Sr Principal Engr,"
Job description
      Join Dell and you’ll work in a dynamic environment with other motivated, talented individuals who inspire greatness in their teammates. Our unique position as a technology leader ensures that you’ll always be challenged in your work and supported in reaching your most ambitious goals. We are looking for world class developers that can lead and drive our teams forward quickly while maintaining a high level of engineering rigor and discipline.
As a platform software engineer, you’ll work with an experienced team of engineers to develop driver and/or firmware/software for next generation tablet, notebook, workstation, and desktop products to drive industry leading IP / feature development. You’ll apply skills and experience across the full cycle of software development (specifications, reviews, development and review, debug and validation) to enable features and capabilities of platforms in areas like thermal, power management, security, manageability, manufacturability and
configurability.
Our team is part of the End User Computing organization and it is a critical area of investment for differentiation of our products. We deliver solutions and features for platforms across the business client space as well as some select consumer space products.
 Responsible for System SW / Driver implementation/management for assigned projects, like laptop. Participates in the preparation, review, and analysis of System SW / Driver requirements and specifications. Participates in the creation of design, functional, technical, and/or user documentation, as needed. Provide ODMs and TPs assessment for new product development, and manage ODMs and TPs for System SW development, issue management for root causing, resolution and closure through the entire cycles. Maintain source code revision control. Clearly communicate project issues and status. Manage ODM to conduct troubleshooting, root-causing and bug fix for any System SW related issues. Accurately log project schedule, defect, and other data into the appropriate databases. Team work with other functional teams like EE, Testing and so on
10-12 years experience in Driver / FW development
 Technical problem solving skills / debug capabilities Driver / FW programming experience. Low level programming capability - system/motherboard/device/chipset level Familiarity with higher level programming (apps / tools) Agile software development experience Experience with analyzers and other HW tools to debug complex system SW issues Familiar with code programming in both assembly and C/C++ language Expertise with Intel system architectures Experience working with Industry forums for spec development like WHQL, WDK. Ability to take ideas from concept phase to delivery. This includes creating design docs, scoping design and requirements,
detailed spec creation, Proof of Concept design and implementation/productizing
 Ability to distill complex concepts into material marketing and non-technical teams can understand Work cross teams and organizations to drive champion ideas and gain alignment Proven track record is product development/design with strong Program Management skillset is a must Good analytical, problem solving, and debugging skills. Basic understanding of hardware and software interactions. Good interpersonal/communication skills. Ability to operate as an individual contributor and within a team environment. Good English skill
Life at Dell
Learn about Dell culture, the interviewing process and benefits offered in your location: Life at Dell
Job
SW Engineering
Primary Location
AP-TW-TPE-Taipei
Shift
Day Job
Organization
Client Solutions
Job Function: Engineering Development
    "
【DB40-03301】Small Cell SW BSP Enginneer/Senior Engineer,"
Job description
      
工作內容
工作說明：
 BSP Development/Maintenance-Architecture/Security/Customization Support Production Process Develop Calibration tool, and test cases for 3GPP Radio conformance Provide worldwide on-site-of IOT/FT/OT
工作地點：
新北市中和區 建康路119號10樓
工作時間：
日班 說明：09:00~18:30
休假制度：
週休二日
是否出差：
需出差
工作性質：
全職
職務類別：
軟／韌體測試人員 、 軟體工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/21
求才條件
身份類別：
不拘
學歷限制：
大學 以上畢業
科系限制：
資訊工程學類 , 電機工程學類 , 電子工程學類 , 通信學類
工作經驗：
1年以上工作經驗
語言能力：
英文 聽:中等 說:中等 讀:中等 寫:中等
附加條件：
Experienced at developing SW in Linux; Fair skill in C Programming 1. Good Knowledge of architecture/ operation of LTE; Familiar with 3GPP spec of LTE Radio conformance; Experienced at debugging system/ performance issues in embedded system, as well as production process.
    "
106年研發替代役-Software Engineer(Graphics),"
Job description
      
工作內容
工作說明：
Work on developing application and demonstrations showcase the Computer Vision and Graphics features of VIA technologies.Triage and debug various SW issue in applications.Analyze,deveiop and prototype key deep learning and computer vision algorithm and applications for embedded device.will participate in a focused effort to develop and productize ground-breaking solutions that will revolutionize the world of embedded.
工作地點：
新北市新店區 中正路533號
工作時間：
日班 說明：08:45~17:45
休假制度：
週休二日
工作性質：
全職 此為研發替代役職務，應徵者須具備研發替代役資格
職務類別：
軟體工程師 、 韌體工程師 、 演算法開發工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
碩士 以上
科系限制：
電機工程學類 , 電子工程學類 , 資訊工程學類
工作經驗：
不拘
電腦專長：
LINUX、Windows 7、Android、C/C++
附加條件：
Sufficient educational background to understand the science and mathematics of computer vision , machine learning , car physics , geometry and trigonometr. 2.Excellent C/C++ programming and software design skills, including debugging , performance analysis , and test design. Python experience also highly desired. 3.prior experience with machine learning algorithms and frameworks , especially experience frameworks such as caffe , Torch , Theano and TensorFlow. 4.GPU programming experience(CUDA or OpenCL) desired but not required. 5.Execllent math skills
工作福利
    "
Frontend Developer (新店),"
Job description
      The ideal candidate will be passion to join the world leading VR solution provider, Vive team who is looking for building up world class global content eStore - Viveport and engage emerging technologies and new business models.Minimum of 3 years' experience in website development.Proficiency in the following domainsFamiliar with Javascript, HTML, CSSGood on either ReactJS, AngluarJS, jQuery, NodeJS, or BootstrapMulti-language websites and user interface localizationPractical experiences of large-scale software projects and product releases preferred.
    "
"PW-美商科技公司 徵 iOS Developer, 出差美國加州6個月","
Job description
      
工作內容
工作說明：
[Job Description]
As a Mobile Application Developer, you will work on design-driven iOS applications featuring advanced interactive experiences and using rich web services associated with the product. The company’s core area of expertise is building highly scalable software solutions that combine social networks and multimedia components.
In this role, you will work closely with the Product Management & Design team along with other members of the Engineering team to understand, clarify, and shape requirements, and translate them into reality for the launch of a new social, interactive product.
[Responsibilities]:
‧ Work closely with product management & design teams to develop user-friendly, low-latency software accessing multimedia and social networks on multiple devices.
‧ You will mentor junior members of your team and be the go-to person for their development questions.
‧ Design and write quality code for on-time, on-budget deployment according to project management schedules.
‧ Coordinate and participate in the implementation, test, and support of iOS applications.
‧ Guide mobile application development team to ensure the end product meets high standards for data-driven applications that provide high-availability, secure, 24/7 features.
工作地點：
台北市信義區 美國加利佛尼亞州
工作時間：
日班 說明：am9~pm18
休假制度：
週休二日
工作性質：
全職
職務類別：
軟體工程師
工作待遇：
面議
需求人數：
1 人
到職日期：
不限
職缺更新：
2017/5/2
求才條件
身份類別：
一般求職者／應屆畢業生
學歷限制：
大學 以上
科系限制：
不拘
工作經驗：
不拘
語言能力：
英文 聽:精通 說:精通 讀:精通 寫:精通
工作福利
    "
Sr. Developer(Team Leader),"
Job description

Key Responsibilities
Develop and write programs in .net C#, C/C++ programming languages Integrate drivers, diagnostics tools into a client proprietary processes for client products Support and Troubleshoot software, hardware and process issues Assemble and Test client Products to validate process and tool integration. Up to 70% of the work is in Diagnostics Integration, Hardware Testing & Support, the remaining work (30-50%) is in software development with C/C++ or .net C# programs. Design, Develop and integrate Diagnostics Tests for Manufacturing and Customer for client computers PCs (Desktops, Notebook, tablet PC, Consumer/Commercial Workstations) using the above tools Integrate Diagnostics Tools for client
Key Requirements
Min 2-3 years experience of strong hardware design/development and low level programming on Wi-fi, WLAN, Wi-WAN, bluetooth, WiGig,NFC, GPS, Elabel, various touch panel Be able to understand hardware and schematics and programming interface to write diagnostics code on Wi-fi, WLAN, Wi-WAN, bluetooth, WiGig,NFC, GPS Experience on various programming languages (C#/C++ .Net, Java, C++, C), OS (DOS, Win8, Android) and development environment (Visual studio, Eclipse) Some exposure to PC Manufacturing process and assembly line. Embedded Programming Knowledge (Writing system drivers, OS API/SDKs)
"
Mobile/Embedded SW Engineer (RDSS Intern),"
Job description
      Mobile/Embedded SW Engineer (RDSS Intern)
We are now looking for a Mobile/Embedded Software Engineer – Intern in our Taiwan, Taipei Office!
What You’ll Be Doing
The candidate will work directly with customer to provide deep technical assistance in integrating NVIDIA Tegra products into customer platforms, including platform bring up, driver porting and integration, use case support, problem solving, and feature development.The candidate will also assist customer to achieve fully optimized design with NVIDIA product and provide customer feedback as to product feature and software enhancement.
What We Need To See
Bachelor degree in CS, CE, EE is requiredGood English language skills to work effectively with global development and support teamExperience at Linux or AndroidExcellent C skillsExcellent debugging and problem solving skills
Ways To Stand Out From The Crowd
Experience working on embedded systems and ARM processor specificSelf managing and ability to break down complex problems in to manageable tasksEnjoys working with internal and external customers from design to production
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most brilliant and talented people on the planet working for us. If you're creative and autonomous, we want to hear from you!
We are an AA/EEO/Veterans/Disabled employer

"
Platform Sftwr Prin Engineer,"
Job description
      Join Dell and you’ll work in a dynamic environment with other motivated, talented individuals who inspire greatness in their teammates. Our unique position as a technology leader ensures that you’ll always be challenged in your work and supported in reaching your most ambitious goals. We are looking for world class developers that can lead and drive our teams forward quickly while maintaining a high level of engineering rigor and discipline.
As a platform software engineer, you’ll work with an experienced team of engineers to develop BIOS and/or firmware/software for next generation tablet, notebook, workstation, and desktop products to drive industry leading IP / feature development. You’ll apply skills and experience across the full cycle of software development (specifications, reviews, development and review, debug and validation) to enable features and capabilities of platforms in areas like thermal, power management, security, manageability, manufacturability and
configurability.
Our team is part of the End User Computing organization and it is a critical area of investment for differentiation of our products. We deliver solutions and features for platforms across the business client space as well as some select consumer space products.
 Responsible for BIOS/SW implementation/management for assigned projects, like laptop. Participates in the preparation, review, and analysis of BIOS/SW requirements and specifications. Participates in the creation of design, functional, technical, and/or user documentation, as needed. Provide ODMs and IBV/ISVs assessment for new product development, and manage ODMs and IBV/ISVs for BIOS/SW codes development, issue management for root causing, resolution and closure through the entire cycles. Maintain source code revision control. Clearly communicate project issues and status. Manage ODM to conduct troubleshooting, root-causing and bug fix for any BIOS/SW related issues. Accurately log project schedule, defect, and other data into the appropriate databases. Team work with other functional teams like EE, Testing and so on
12+ years experience in BIOS / firmware SW development
 Technical problem solving skills / debug capabilities BIOS/Firmware/Software programming experience. Low level programming capability - system/motherboard/device/chipset level Familiarity with higher level programming (apps / tools) Agile software development experience Experience with analyzers and other HW tools to debug complex system SW issues UEFI Programming expertise is strongly desired Familiar with code programming in both assembly and C/C++ language, Microsoft ASM and uEFI are preferred. Expertise with Intel system architectures Experience working with Industry forums for spec development like UEFI, DMTF, PCI Sig, ACPI, etc. Ability to take ideas from concept phase to delivery. This includes creating design docs, scoping design and requirements,
detailed spec creation, Proof of Concept design and implementation/productizing
 Ability to distill complex concepts into material marketing and non-technical teams can understand Work cross teams and organizations to drive champion ideas and gain alignment Willingness and the ability to take ownership of overall UEFI platform design throughout the platform lifecycle Proven track record is product development/design with strong Program Management skillset is a must Good analytical, problem solving, and debugging skills. Basic understanding of hardware and software interactions. Good interpersonal/communication skills. Ability to operate as an individual contributor and within a team environment. Good English skill
Education
 Minimum: Bachelor Degree Preferred: Master Degree
Life at Dell
Learn about Dell culture, the interviewing process and benefits offered in your location: Life at Dell
Job
Engineering - Platform Software Engineer
Primary Location
AP-TW-TPE-Taipei
Shift
Day Job
Job Level
Individual Contributor
Organization
Client Solutions
    "
Senior Software Development Engineer in Test - 5622,"
Job description
      Company: Mentor Graphics
Job Title: Senior Software Development Engineer in Test - 5622
Job Location: Taiwan - Hsinchu
Job Category: Software Quality Assurance
Job Duties
 Aim to reach a high quality level for the different Mentor Graphics Analog simulators Participate in the test plan and quality plan definition of each release in coordination with development and marketing teams Test and monitor simulator performance reporting any significant performance degradation Create various test cases to evaluate new features using analog design languages (Spice, Verilog-A) Analyze defects reported by customers and automate their test cases Run the adequate tests, analyze the test reports, make the diagnosis of problems, report them to development teams and possibly suggest the way to solve them Consider different quality attributes (FURPS) while validating the various products with special emphasis on Performance attributes Measure the test coverage and suggest improvements Use products as a designer and report issues and suggestions to enhance them Work closely with the development team to optimize the development and validation cycle time in an Agile process Secondary Role: Participate in foundry device model and simulator qualifications and regression testing ensuring our conformance to foundry approved references
Requirement
Job Qualifications:
 Beginner or experienced in analog circuit design and/or testing activities Knowledge of analog/mixed signal design and verification methodologies would be a plus Experience in analog design (especially Memory circuits such as SRAM and DRAM) and usage of commercial Spice simulators Experience in writing Verilog-A descriptions Knowledge or interest in QA methodology and in development tools (version management, defect management, or test coverage) is highly desirable Shell/Perl Scripting and UNIX knowledge Fluent in English with good written and verbal communication skills. Interviews will be partly performed in English Ability to work within a multi-cultural, international organization involving daily interactions with colleagues in other teams and other countries Self-Motivated, highly attentive to details and able to work independently High sense of responsibility and stable personality are desirable

    "
Software Engineer (x86/ARM),"
Job description

工作內容
工作說明：
DOS 測試程式開發與維護Windows/Linux作業系統(x86/ARM)驅動程式開發與維護
工作地點：
新北市新店區 中正路533號8樓
工作時間：
日班 說明：08:30~17:45
休假制度：
週休二日
工作性質：
全職
職務類別：
軟體工程師 、 韌體工程師
工作待遇：
面議
需求人數：
1~2人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
碩士 以上畢業
科系限制：
資訊工程學類 , 電機工程學類 , 電子工程學類
工作經驗：
不拘
語言能力：
英文 聽:略通 說:略通 讀:中等 寫:中等
附加條件：
 熟C/C++,UI程式語言 2. 具大型程式開發與除錯工作經驗者佳 5. 具Windows/Linux作業系統之驅動程式開發經驗者佳
工作福利
"
IT Backend ADS Software Development Engineer,"
Job description
      As a backend Application, Development and Support (ADS) development engineer at Micron Technology, Inc. and within the Information Technology Team (IT) you are responsible to own and drive teams to our direct customer base – backend High Volume Manufacturing (HVM) Sites. You will collaborate with global teams to deploy aligned solutions. You will be responsible for manufacturing tool automation and data systems on the factory floors across the backend sites including alignment of solutions and processes. The team is also accountable to the business processes, systems, support, and sustainment as it pertains to our manufacturing sites within backend. This includes 24x7 support for these systems and HVM sites.
Your objective is to develop efficient, reliable and aligned manufacturing solutions across the HVM sites using metrics to drive continuous improvement. You are responsible to communicate with the manufacturing sites, keeping them aware of unplanned and scheduled activities within your support.
Responsibilities
 Develop Effective Factory System solutions Provide 24x7 escalation support Provide Safe, Compliant, and Ethical Work Environment
QualificationsEducation Required
Bachelors Degree
 Computer Science, Computer Information Systems Related field of study
Experience Required
3 years experience in any of the following:
 or industry related experience
Qualifications
 The ability to work in several areas of software development as part of a team or independently The ability to manage multiple projects and tasks concurrently Strong analytical, problem solving, and organizational skills Self-motivated with the ability to work with minimal supervision Development of applications to support manufacturing processes, equipment maintenance, and engineering analysis Database development and design with MS-SQL Windows programming in C#, Visual C++, MS Visual Studio, Visual Basic Linux/Unix programming with C, C++ Scripting in Perl, Python, or shell Markup languages: XML, HTML Understanding of middleware and messaging concepts Machine Communication: GPIB, SECS/GEM, serial communications Source code management best practices
福利制度

美光提供最佳產品給顧客並為股東及員工創造最大價值。對於員工我們提供具競爭性的薪資水準及創造優質的工作環境，吸引、留任及培育每位優秀員工。
『美光政策已經且將持續落實所有人力資源活動及福利待遇，不分種族、宗教、膚色、性別、國籍、年齡、殘疾、性向、婚姻狀態、軍籍地位或其他受法律保護之類別。每位經理人、主管及團隊成員均有責任貫徹此政策規定。
人事部門之雇用平權承辦人負責本政策之執行、解答任何相關問題及查核員工遵守政策之成效狀況。申請過程中如需要協助，請聯繫美光人力資源部 04-25218177。』
求職者在招募過程中或受僱於美光時，無須支付費用、押金或承擔債務
Jobseekers are not required to pay fees, deposits or incur debt as part of the recruitment process or for employment with Micron.
教育訓練
Micron全球人力培訓主要目標是 - 確保每個成員都能夠獲得展現高績效成果所需要的學習資源。Micron提倡標準化的訓練架構，以便根據團隊成員的職位、工作職能、工作角色和執行的特定工作來識別必要和相關的訓練。Micron 的主要訓練架構
 美光核心職能訓練：包含與法規遵循相關且適用於所有 Micron成員的訓練活動。 地區性/廠區核心要求：包含與法規遵循相關、適用於特定地區或廠區之所有成員的訓練活動。 部門核心職能訓練：包含適用於特定部門內所有成員，包含與安全有關以及單位內訓練活動。 特定工作角色的特定訓練：如領導力訓練、接班人計畫。 除了一般的訓練方法，美光也利用多元的學習方式來達到人力發展目標，如：自我學習方案、工作輪調、專案參與等。
薪酬福利
 固定薪資12個月, 2個月的年終獎金 工程師職位薪資：學士畢業NTD44,000/月起碩士畢業NTD50,000/月起具半導體經驗者薪優另議 績效獎金(IPP)：按公司營運績效及組織目標成效給與。 績優獎金(PBP)：頒給年度績效優異之員工。 即時獎勵(Spot Bonus/Micron Point)：發給工作表現卓越之員工。 久任獎勵(Service Award)：服務每滿五年之員工，可獲頒特別贈品。 勞工退休金美光提撥率：8%。 新進員工到職第一年即享有年假10天(依到職比例)，優於勞基法規定之特別休假。 全薪病假80小時；政府紀念不放假之紀念日給予特別休假，讓同仁有更多的假期安排。 員工勞、健保外之免費團體保險(含壽險、意外、健康醫療團體保險)。 提供員工配偶及子女免費健康醫療團體保險。
工作環境
 無歧視、重平等，提供優質舒適的工作環境。 體貼懷孕同仁提供專屬無塵衣、置物櫃、停車位、哺乳室、育兒知識公佈欄、媽媽信箱等協助設施。 多元減壓與娛樂設施，如：KTV室、韻律教室、撞球、桌球、健身房、投籃機、閱覽室及多功能戶外球場等。 豐富化餐點及餐費補助，如：自助餐、麵食、特色餐、蔬食餐、沙拉餐、水果餐等選擇。 享有員工優惠的連鎖便利商店7-11、coffee shop、麵包坊等。 設施多樣、舒適的員工宿舍，照顧遠地員工住宿問題。直接人員免費交通車(苗栗/台中地區)。 提供便利的汽、機車室內停車場，並設置重機專屬停車區。 銀行與保險專業人員定期駐廠，提供理財及保險服務並設有ATM室。
健康促進及文康活動
 關心員工健康，提供免費年度健康檢查及各類健康促進活動為員工健康把關。 中、西醫醫生駐診及專業護理師，貼心提供相關協助。 多樣化的社團活動、家庭日、中秋晚會等，提供多采多姿的活動。 種類豐富的特約商店，讓員工享有購物、美食等消費折扣優惠。 引進優質廠商駐廠展售商品，提供工作休息中的購物便利。
Keywords: Taiwan || Taichung (TW-TXQ) || Taiwan (TW) || Backend Manufacturing || Experienced || Regular || Information Systems and Technology || [[mfield1]] ||
    "
(GBS CIC) Application Developer - Java / VB.net,"
Job description
Summary
The successful candidate in this role is required to involves the process, life cycle and creation of the software solution to our customers in semiconductor/flat panel/ solar business. The candidate will work closely with critical stakeholders in using languages such as Java or VB.net to develop the necessary specifications for software. Developers may also test, debug and improve generally faulty applications for clients.
Role & Responsibility
 Support user requirement discussion, analysis, design, and documentation with CIM users of electronics industry, especially semiconductor, solar, FPD industry. Participate in developing, testing, deploying, and maintaining SW solutions for computer integrated manufacturing (CIM) related area for semiconductor, flat panel, solar, and electronics business. Provide training to clients on proper use of software solutions. Handle client’s inquiries and resolve client technical issues

"
"PW-網頁前台工程師 Frontend Web Developer,50K~100K","
Job description
      
工作內容
工作說明：
網頁前台工程師 Frontend Web Developer
工作內容:
有UI/UX的常識
熟悉HTML, CSS, JavaScript
測試瀏覽器及驅動程式所展現出來的效果
與組員合作,及UX,設計師,確保產品的品質及效能.
需求條件:
IT 或設計相關科系畢業
2年以上工作經驗
有JSP, Java基本程式語言的能力
熟悉Photoshop, AI, HTML5, XSLT, JavaScript & CSS
有Flash, Action Script, Dreamweaver經驗尤佳
若是經驗較資深,有機會談Leader的職務.
Salary: 50k~100k
工作地點：
台北市內湖區
工作時間：
日班, 輪班 說明：9am~6pm
休假制度：
週休二日
是否出差：
需出差
工作性質：
全職
職務類別：
網站程式設計師 、 軟體工程師 、 軟體專案主管
工作待遇：
面議
需求人數：
4~5人
到職日期：
不限
職缺更新：
2017/5/2
求才條件
身份類別：
不拘
學歷限制：
專科 以上
科系限制：
不拘
工作經驗：
2年以上工作經驗
工作福利
    "
(軟體研發) Protocol SW engineer ( Smart phone ) / 通訊協定工程師,"
Job description
Radio protocol Software integration and design, including VoLTE, WFC, ViLTERadio Software issue debug/clarificationCertification/customer lab supportCustomer requirement complianceL1/RF Software integration and design 6. 3GPP/3GPP2/GSMA protocol SW design 7. 3GPP/3GPP2/GSMA protocol conformance/certification
具備研發替代役申請資格者
    "
Java Developer,"
Job description

Key Responsibilities
 會寫Java / JSP。 使用過Java相關Framework (Hibernate、Spring或 MyBatis) 。 熟练使用SVN Version Control工具。 了解MVC 開發與HTTP的基本工作模式。 習慣閱讀英文技術文件 了解tomcat。 對網頁效能持續提升有熱情。 3年以上經驗。
Key Requirements
 大專資訊本科系及以上學歷，計算機相關專業，2年以上Java相關開發經驗。 熟OOP、OOAD、design pattern、code refactoring。 懂TCP、HTTP等網路協議，熟悉常用的third party library。 熟JSP、Servlet, 熟javascript, 熟 Spring、mybatis、tomcat、nginx。 熟 MySQL。 具抗壓力，熱愛程式設計，喜愛團隊合作精神。
"
"2017 Summer Intern, Software Engineer-Media","
Job description
      About Yahoo
Yahoo is focused on making the world's daily habits inspiring and entertaining. By creating highly personalized experiences for our users, we keep people connected to what matters most to them, across devices and around the globe. In turn, we create value for advertisers by connecting them with the audiences that build their businesses. Yahoo APAC R&D Center is located in Taipei, Taiwan., and has offices located throughout the Americas, Asia Pacific (APAC) and the Europe, Middle East and Africa (EMEA) regions.
A Little About Us
ABU Media Engineering hosts some of the most popular websites in Taiwan and Hong Kong: TW/HK Front Page, TW Stock, TW Money, TW/HK Sports, TW Movie, providing premium digital contents to millions of users every day. ABU Media Engineering team focuses on creating most relevant local experiences and services while leverage global developments. ABU Media Engineering team is looking for talented individuals who are passionate about building the most advanced online content management application.
A Lot About You
You will have the chance to work with top talents around the globe to provide the highest quality media properties built on cutting edge technology. You will love this position if you like applications handling billions requests a day, and has passion for performance, stability, scalability engineering.
The road ahead is exciting, and our team is moving fast. Your work will be seen and touched by millions of people, worldwide. If you believe you have what it takes to help shape our future then look no further, apply now, and get ready for the ride of your life!
Your Day
Creative and fun product / prototype development in iOS or Android.Create innovative and smooth UX.Ship a workable prototype with the team members.
You Must Have
Currently pursuing a M.S. in Computer Science or equivalent major.Enthusiastic and dedicated personalities.Good knowledge of software design and development.Proficiency in, at least, one modern object-oriented language such as Java (preferred) and C++.Experience or project work with mobile app programming (iOS / Android) on mobile phones or tablets is a plus.
Primary Location
Taiwan-Taipei City-Taipei
    "
IT Supervisor - Software Engineer Job,"
Job description
Job Description
As an IT Supervisor and Software Engineer at Micron you will configure, develop, maintain and support Micron and third party applications. You will create and analyze software specifications, and research, design, document, modify, and support software throughout the development life cycle. You must demonstrate the functional and technical skills necessary to switch between development technologies and merge them to provide the best solution. You must have a demonstrated ability to create quality software and participate in quality improvement efforts. You will provide solutions that create business value while at the same time minimizing negative impact through defects, downtime, or performance degradation. As the first level of supervision for positions you will oversee day to day performance of work assigned to those team members, and ensure consistent application of organizational policies. You will work closely with an IT Operations Manager to set goals, measure performance, and assign tasks to team members. As some of the team will be focused on system management, familiarity or expertise in system management skills will help as you will provide guidance to the team.
Responsibilities
 Analyze business needs to understand the problem Analyze the software solution options. Follow the software development lifecycle to deliver solutions. Implement 3rd party solutions. Assist other developers with best practices and support. Provide 24x7 escalation support for software issues. Work to maintain skills and improve the IS roadmap. Oversee performance of assigned team members Assign tasks and goals to team members Measure performance of assigned team members Participate in Operations team callsWhat we are looking for: 5 years experience in any of the following:Windows development for web, desktop and windows console applicationsTechnologies: Visual Studio 210 or later, C#, .NET 4.0 or later, ASP.NETScripting languages: JavaScript, PowerShell 3.0 or later Demonstrated proficiency in developing and writing design documents 3 years demonstrated proficiency in leading and mentoring team members in process and software development Knowledge of: MVC, Active Directory, LDAP, IIS, WMI Windows Server 2008 or greater system administration Knowledge of Microsoft System CenterConfiguration Manager (SCCM)OrchestratorOperations Manager (SCOM) The ability to work in several areas of software development as part of a team or independently Strong analytical, problem solving, and organizational skills The ability to work in a dynamic, fast-paced, 24x7 work environment The ability to manage multiple projects and tasks concurrently Self-motivated with the ability to work with minimal supervision Excellent customer service skills Active team participation and demonstrated teamwork and consensus building skills Proficient in English verbal and written communication skills Working knowledge of and adherence to ITIL principles TOEIC score > 500 required
福利制度
<以下薪資福利僅適用於台灣美光記憶體(股)公司台中廠正式員工，美光公司其他廠區或辦公室及非正式員工薪資福利另議。>
美光提供最佳產品給顧客並為股東及員工創造最大價值。對於員工我們提供具競爭性的薪資水準及創造優質的工作環境，吸引、留任及培育每位優秀員工。
『美光政策已經且將持續落實所有人力資源活動及福利待遇，不分種族、宗教、膚色、性別、國籍、年齡、殘疾、性向、婚姻狀態、軍籍地位或其他受法律保護之類別。每位經理人、主管及團隊成員均有責任貫徹此政策規定。
人事部門之雇用平權承辦人負責本政策之執行、解答任何相關問題及查核員工遵守政策之成效狀況。申請過程中如需要協助，請聯繫美光人力資源部 04-25218177。』
求職者在招募過程中或受僱於美光時，無須支付費用、押金或承擔債務
Jobseekers are not required to pay fees, deposits or incur debt as part of the recruitment process or for employment with Micron.
教育訓練
Micron全球人力培訓主要目標是 - 確保每個成員都能夠獲得展現高績效成果所需要的學習資源。Micron提倡標準化的訓練架構，以便根據團隊成員的職位、工作職能、工作角色和執行的特定工作來識別必要和相關的訓練。Micron 的主要訓練架構
 美光核心職能訓練：包含與法規遵循相關且適用於所有 Micron成員的訓練活動。 地區性/廠區核心要求：包含與法規遵循相關、適用於特定地區或廠區之所有成員的訓練活動。 部門核心職能訓練：包含適用於特定部門內所有成員，包含與安全有關以及單位內訓練活動。 特定工作角色的特定訓練：如領導力訓練、接班人計畫。 除了一般的訓練方法，美光也利用多元的學習方式來達到人力發展目標，如：自我學習方案、工作輪調、專案參與等。
薪酬福利
 固定薪資12個月, 2個月的年終獎金 工程師職位薪資：學士畢業NTD44,000/月起碩士畢業NTD50,000/月起具半導體經驗者薪優另議 績效獎金(IPP)：按公司營運績效及組織目標成效給與。 績優獎金(PBP)：頒給年度績效優異之員工。 即時獎勵(Spot Bonus/Micron Point)：發給工作表現卓越之員工。 久任獎勵(Service Award)：服務每滿五年之員工，可獲頒特別贈品。 勞工退休金美光提撥率：8%。 新進員工到職第一年即享有年假10天(依到職比例)，優於勞基法規定之特別休假。 全薪病假80小時；政府紀念不放假之紀念日給予特別休假，讓同仁有更多的假期安排。 員工勞、健保外之免費團體保險(含壽險、意外、健康醫療團體保險)。 提供員工配偶及子女免費健康醫療團體保險。
工作環境
 無歧視、重平等，提供優質舒適的工作環境。 體貼懷孕同仁提供專屬無塵衣、置物櫃、停車位、哺乳室、育兒知識公佈欄、媽媽信箱等協助設施。 多元減壓與娛樂設施，如：KTV室、韻律教室、撞球、桌球、健身房、投籃機、閱覽室及多功能戶外球場等。 豐富化餐點及餐費補助，如：自助餐、麵食、特色餐、蔬食餐、沙拉餐、水果餐等選擇。 享有員工優惠的連鎖便利商店7-11、coffee shop、麵包坊等。 設施多樣、舒適的員工宿舍，照顧遠地員工住宿問題。直接人員免費交通車(苗栗/台中地區)。 提供便利的汽、機車室內停車場，並設置重機專屬停車區。 銀行與保險專業人員定期駐廠，提供理財及保險服務並設有ATM室。
健康促進及文康活動
 關心員工健康，提供免費年度健康檢查及各類健康促進活動為員工健康把關。 中、西醫醫生駐診及專業護理師，貼心提供相關協助。 多樣化的社團活動、家庭日、中秋晚會等，提供多采多姿的活動。 種類豐富的特約商店，讓員工享有購物、美食等消費折扣優惠。 引進優質廠商駐廠展售商品，提供工作休息中的購物便利。
Keywords: Taiwan || Taichung (TW-TXQ) || Taiwan (TW) || Frontend Manufacturing || Experienced || Regular || Information Systems and Technology || [[mfield1]] ||
"
Software Development Engineer 3 - APRD882,"
Job description
      Req # APRD882
Functional Area R&D
Position Overview Job Description
Fortinet is currently looking for an experienced Senior Software Engineer to join our team. This team is responsible for engaging with various product development teams to build a SAAS cloud security service platform.
Responsibilities
 You will be in charge of designing and implementing the cloud infrastructure platform; Integrate with other systems using APIs; Make the platform more scalable and reliable; Constantly improve our build, integration, deployment, monitoring process to make us move fast.
Job Experience Required
 5+ years of experience in C/C++ and Python; Experience with file systems, concurrency, multithreading, server architectures, and distributed systems; Experience with SQL/NoSQL databases; Experience with continuous build, integration, safe and automatic deployment of large scale services; Solid understanding of the Linux operating system; Experience in networking and security technologies (firewall, routing, anti-virus, intrusion prevention, virtual private networking, etc.) is a plus.
Educational Requirements
 Bachelor or Master’s degree in Computer Science, Computer Engineering or related fields

    "
